epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,927.056,0.87141,0.82489,0.97168,0.99096,0.96577,0.99201,0.7607,0.81971,0.69294,0.90107,0.000307,0.000307,0.000307
44,949.284,0.88855,0.82491,0.94881,0.9835,0.97056,0.98792,0.74765,0.84848,0.70366,0.91139,0.0002905,0.0002905,0.0002905
45,970.532,0.81538,0.8287,0.94739,0.98319,0.97437,0.99307,0.73484,0.87541,0.71687,0.92041,0.000274,0.000274,0.000274
46,992.082,0.85868,0.79776,0.94879,0.98291,0.97428,0.99207,0.75925,0.83044,0.68964,0.90192,0.0002575,0.0002575,0.0002575
47,1014.36,0.85537,0.8172,0.94911,0.98087,0.97193,0.99175,0.75441,0.83827,0.67447,0.90132,0.000241,0.000241,0.000241
48,1036.19,0.84746,0.79623,0.9425,0.98372,0.97528,0.99166,0.7621,0.82467,0.66944,0.89844,0.0002245,0.0002245,0.0002245
49,1058.03,0.81493,0.75593,0.94309,0.98468,0.96844,0.99211,0.76773,0.81663,0.6658,0.89366,0.000208,0.000208,0.000208
50,1079.59,0.89747,0.84377,0.96924,0.97397,0.97078,0.99069,0.77024,0.81364,0.66568,0.894,0.0001915,0.0001915,0.0001915
51,1101.34,0.75406,0.76631,0.90194,0.9593,0.98035,0.98962,0.76306,0.83738,0.68174,0.90013,0.000175,0.000175,0.000175
52,1123,0.7932,0.80314,0.89736,0.98588,0.94876,0.99112,0.76216,0.83231,0.69828,0.89791,0.0001585,0.0001585,0.0001585
53,1144.97,0.76454,0.79848,0.87549,0.98839,0.9561,0.99192,0.76562,0.83155,0.68805,0.89781,0.000142,0.000142,0.000142
54,1166.57,0.73969,0.75295,0.88064,0.98508,0.95701,0.98561,0.76838,0.82041,0.68255,0.8992,0.0001255,0.0001255,0.0001255
55,1188.15,0.72589,0.75529,0.89104,0.98496,0.95529,0.9906,0.75946,0.84015,0.68518,0.90417,0.000109,0.000109,0.000109
56,1209.15,0.7167,0.71443,0.88587,0.98208,0.95697,0.99052,0.75685,0.8395,0.67763,0.90467,9.25e-05,9.25e-05,9.25e-05
57,1230.79,0.70714,0.70942,0.87237,0.97673,0.9528,0.99096,0.76479,0.82432,0.66632,0.90324,7.6e-05,7.6e-05,7.6e-05
58,1252.58,0.70454,0.74356,0.88448,0.97347,0.96095,0.99072,0.76311,0.81465,0.66305,0.90138,5.95e-05,5.95e-05,5.95e-05
59,1274.36,0.71099,0.70929,0.88577,0.95281,0.97782,0.99008,0.76658,0.80988,0.66007,0.90263,4.3e-05,4.3e-05,4.3e-05
60,1295.54,0.70004,0.72363,0.86428,0.95805,0.96702,0.99008,0.7707,0.80124,0.6558,0.89968,2.65e-05,2.65e-05,2.65e-05
